ticker,yearReport,lengthReport,TOTAL ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Balances with the SBV,Placements with and loans to other credit institutions,"Trading Securities, net",Trading Securities,Provision for diminution in value of Trading Securities,Derivatives and other financial liabilities,"Loans and advances to customers, net",Loans and advances to customers,Less: Provision for losses on loans and advances to customers,Investment Securities,Available-for Sales Securities,Held-to-Maturity Securities,Less: Provision for diminution in value of investment securities,Long-term investments (Bn. VND),Investments in associate companies,Other long-term assets (Bn. VND),Less: Provision for diminuation in value of long term investments,Fixed assets (Bn. VND),Tangible fixed assets,Intagible fixed assets,Investment in properties,Other Assets,TOTAL RESOURCES (Bn. VND),LIABILITIES (Bn. VND),Due to Gov and borrowings from SBV,Deposits and borrowings from other credit institutions,Deposits from customers,_Derivatives and other financial liabilities,"Funds received from Gov, international and other institutions",Convertible bonds/CDs and other valuable papers issued,Other liabilities,OWNER'S EQUITY(Bn.VND),Capital,Reserves,Foreign Currency Difference reserve,Undistributed earnings (Bn. VND),Paid-in capital (Bn. VND),MINORITY INTERESTS
ACB,2022,4,607875185000000,8460892000000,13657531000000,85971313000000,1131327000000,1320941000000,-189614000000,100072000000,408856508000000,413706244000000,-4849736000000,75534794000000,31854915000000,43679879000000,0,146814000000,0,303387000000,-156573000000,3981376000000,2849732000000,1131644000000,177005000000,9857553000000,607875185000000,549436522000000,505876000000,67840840000000,413952789000000,0,60188000000,44304367000000,22772462000000,58438663000000,34046130000000,9220125000000,0,15172408000000,33774351000000,0
ACB,2022,3,561113724000000,6820742000000,7285530000000,62584455000000,1438382000000,1641739000000,-203357000000,67174000000,396661986000000,402250931000000,-5588945000000,71265935000000,27533790000000,43732145000000,0,154549000000,0,309337000000,-154788000000,3733847000000,2665262000000,1068585000000,177005000000,10924119000000,561113724000000,505378993000000,34000000,51830484000000,392023517000000,0,64550000000,40052881000000,21407527000000,55734731000000,34046130000000,7164297000000,166147000000,14358157000000,33774351000000,0
ACB,2022,2,543736728000000,7179996000000,11267755000000,57122539000000,1481310000000,1683277000000,-201967000000,91556000000,390049375000000,395598651000000,-5549276000000,64489044000000,18577997000000,45917151000000,-6104000000,158000000000,0,309337000000,-151337000000,3625120000000,2601457000000,1023663000000,216027000000,8056006000000,543736728000000,491670697000000,565000000,50712628000000,388131932000000,0,70779000000,34851291000000,17903502000000,52066031000000,27291260000000,7164297000000,84439000000,17526035000000,27019481000000,0
ACB,2022,1,528636428000000,6281931000000,18208130000000,54337806000000,5068428000000,5159447000000,-91019000000,92408000000,374124636000000,379982950000000,-5858314000000,58710197000000,10634517000000,48079089000000,-3409000000,207771000000,0,309837000000,-102066000000,3678381000000,2641814000000,1036567000000,216027000000,7710713000000,528636428000000,480433095000000,0,44323457000000,386050921000000,0,79176000000,30949666000000,19029875000000,48203333000000,27291260000000,7164297000000,14889000000,13732887000000,27019481000000,0
ACB,2021,4,527769944000000,7509877000000,32349574000000,49818776000000,11259731000000,11325371000000,-65640000000,226545000000,356050950000000,361912538000000,-5861588000000,59474604000000,9739539000000,49743071000000,-8006000000,171925000000,0,299317000000,-127392000000,3762548000000,2685070000000,1077478000000,216027000000,6929387000000,527769944000000,482869035000000,0,54393939000000,379920669000000,0,86066000000,30547883000000,17920478000000,44900909000000,27291260000000,7164297000000,0,10445352000000,27019481000000,0
ACB,2021,3,479308753000000,7010081000000,33532941000000,28675646000000,10151989000000,10239936000000,-87947000000,63982000000,330911258000000,336491602000000,-5580344000000,58533725000000,8886513000000,49807650000000,-160438000000,88068000000,2967000000,101827000000,-16726000000,3646321000000,2581210000000,1065111000000,216027000000,6478715000000,479308753000000,436825317000000,0,20324174000000,365770473000000,0,93799000000,32469936000000,18166935000000,42483436000000,27291260000000,5742084000000,11022000000,9439070000000,27019481000000,0
ACB,2021,2,471275438000000,6870892000000,21912320000000,28988545000000,10270741000000,10375295000000,-104554000000,82038000000,336827639000000,341667500000000,-4839861000000,55528394000000,9535454000000,46253125000000,-260185000000,87912000000,2967000000,101827000000,-16882000000,3703279000000,2628026000000,1075253000000,216027000000,6787651000000,471275438000000,430895193000000,0,27085956000000,358474148000000,0,100653000000,27455319000000,17779117000000,40380245000000,21887364000000,5742084000000,10446000000,12740351000000,21615585000000,0
ACB,2021,1,449514732000000,6037588000000,20232572000000,27746394000000,4419502000000,4529892000000,-110390000000,135503000000,320754992000000,324311117000000,-3556125000000,58893891000000,10294062000000,48932832000000,-333003000000,99549000000,2967000000,101827000000,-5245000000,3720662000000,2664580000000,1056082000000,216027000000,7258052000000,449514732000000,411585397000000,0,20335604000000,352217653000000,0,108249000000,20384044000000,18539847000000,37929335000000,21887364000000,5742084000000,-2229000000,10302116000000,21615585000000,0
ACB,2020,4,444530104000000,6967918000000,16616798000000,31671245000000,6167917000000,6285763000000,-117846000000,54473000000,308528625000000,311478989000000,-2950364000000,63399011000000,10790432000000,53048264000000,-439685000000,99489000000,2967000000,101827000000,-5305000000,3782753000000,2716915000000,1065838000000,348778000000,6893097000000,444530104000000,409081941000000,0,23875242000000,353195838000000,0,116705000000,22049697000000,9844459000000,35448163000000,21887364000000,5741759000000,0,7819040000000,21615585000000,0
ACB,2020,3,418748315000000,5824836000000,12289157000000,29838744000000,4143804000000,4277852000000,-134048000000,42679000000,294472526000000,297385546000000,-2913020000000,61864870000000,10872656000000,51467407000000,-475193000000,97963000000,1441000000,101827000000,-5305000000,3729438000000,2649067000000,1080371000000,356499000000,6087799000000,418748315000000,385829347000000,0,17961521000000,334729380000000,0,127949000000,22887748000000,10122749000000,32918968000000,21887364000000,4595981000000,20348000000,6415275000000,21615585000000,0
